age,job,marital,edu,social,race,position,county,country,salary
43,"\" Private\"","\" Divorced\"","\" Some-college\"","\" Unmarried\"","\" White\"","\" Craft-repair\"",35,"\" United-States\"","\" <=50K\""
43,"\" Private\"","\" Divorced\"","\" Some-college\"","\" Not-in-family\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
43,"\" Private\"","\" Divorced\"","\" Some-college\"","\" Unmarried\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" <=50K\""
43,"\" Private\"","\" Divorced\"","\" Some-college\"","\" Not-in-family\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
43,"\" Private\"","\" Divorced\"","\" Some-college\"","\" Not-in-family\"","\" White\"","\" Exec-managerial\"",45,"\" United-States\"","\" <=50K\""
43,"\" Private\"","\" Divorced\"","\" Some-college\"","\" Not-in-family\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" <=50K\""
43,"\" Private\"","\" Divorced\"","\" Some-college\"","\" Not-in-family\"","\" White\"","\" Adm-clerical\"",48,"\" United-States\"","\" <=50K\""
21,"\" Private\"","\" Never-married\"","\" Some-college\"","\" Own-child\"","\" White\"","\" Other-service\"",20,"\" United-States\"","\" <=50K\""
21,"\" Private\"","\" Never-married\"","\" Some-college\"","\" Not-in-family\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" <=50K\""
21,"\" Private\"","\" Never-married\"","\" Some-college\"","\" Own-child\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
21,"\" Private\"","\" Never-married\"","\" Some-college\"","\" Own-child\"","\" White\"","\" Machine-op-inspct\"",40,"\" United-States\"","\" <=50K\""
21,"\" Private\"","\" Never-married\"","\" Some-college\"","\" Own-child\"","\" White\"","\" Other-service\"",40,"\" United-States\"","\" <=50K\""
21,"\" Private\"","\" Never-married\"","\" Some-college\"","\" Own-child\"","\" White\"","\" Sales\"",45,"\" United-States\"","\" <=50K\""
