age,job,marital,edu,social,race,position,county,country,salary
18,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Other-service\"",22,"\" United-States\"","\" <=50K\""
18,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Handlers-cleaners\"",16,"\" United-States\"","\" <=50K\""
18,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Sales\"",40,"\" United-States\"","\" <=50K\""
18,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Other-service\"",40,"\" United-States\"","\" <=50K\""
18,"\" Private\"","\" Never-married\"","\" 11th\"","\" Other-relative\"","\" White\"","\" Other-service\"",25,"\" United-States\"","\" <=50K\""
18,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Adm-clerical\"",20,"\" United-States\"","\" <=50K\""
18,"\" Private\"","\" Never-married\"","\" 11th\"","\" Other-relative\"","\" Black\"","\" Other-service\"",20,"\" United-States\"","\" <=50K\""
18,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" <=50K\""
18,"\" Private\"","\" Never-married\"","\" 11th\"","\" Not-in-family\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
18,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Craft-repair\"",20,"\" United-States\"","\" <=50K\""
17,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Sales\"",12,"\" United-States\"","\" <=50K\""
17,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Other-service\"",12,"\" United-States\"","\" <=50K\""
17,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Other-service\"",10,"\" United-States\"","\" <=50K\""
17,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Handlers-cleaners\"",18,"\" United-States\"","\" <=50K\""
17,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Sales\"",12,"\" United-States\"","\" <=50K\""
17,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Sales\"",20,"\" United-States\"","\" <=50K\""
17,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Sales\"",20,"\" United-States\"","\" <=50K\""
17,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Sales\"",28,"\" United-States\"","\" <=50K\""
17,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Adm-clerical\"",15,"\" United-States\"","\" <=50K\""
17,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Other-service\"",5,"\" United-States\"","\" <=50K\""
17,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" Asian-Pac-Islander\"","\" Adm-clerical\"",24,"\" United-States\"","\" <=50K\""
17,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Adm-clerical\"",20,"\" United-States\"","\" <=50K\""
17,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Craft-repair\"",17,"\" United-States\"","\" <=50K\""
17,"\" Private\"","\" Never-married\"","\" 11th\"","\" Own-child\"","\" White\"","\" Craft-repair\"",10,"\" United-States\"","\" <=50K\""
