marital,edu,age,social,race,position,county,country,salary
"\" Married-civ-spouse\"","\" Bachelors\"",[25 - 35[,"\" Husband\"","\" White\"","\" Exec-managerial\"",45,"\" ?\"","\" >50K\""
"\" Married-civ-spouse\"","\" Bachelors\"",[25 - 35[,"\" Husband\"","\" White\"","\" Prof-specialty\"",37,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Bachelors\"",[25 - 35[,"\" Husband\"","\" White\"","\" Prof-specialty\"",50,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Bachelors\"",[25 - 35[,"\" Husband\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Bachelors\"",[25 - 35[,"\" Husband\"","\" White\"","\" Prof-specialty\"",25,"\" Nicaragua\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Bachelors\"",[25 - 35[,"\" Husband\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Bachelors\"",[25 - 35[,"\" Husband\"","\" Asian-Pac-Islander\"","\" Prof-specialty\"",40,"\" India\"","\" >50K\""
"\" Married-civ-spouse\"","\" Bachelors\"",[25 - 35[,"\" Husband\"","\" White\"","\" Tech-support\"",40,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Bachelors\"",[35 - 55[,"\" Husband\"","\" White\"","\" Prof-specialty\"",50,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Bachelors\"",[35 - 55[,"\" Husband\"","\" White\"","\" Adm-clerical\"",50,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Bachelors\"",[35 - 55[,"\" Wife\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Bachelors\"",[35 - 55[,"\" Husband\"","\" White\"","\" Exec-managerial\"",50,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Bachelors\"",[35 - 55[,"\" Husband\"","\" White\"","\" Protective-serv\"",40,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Bachelors\"",[35 - 55[,"\" Husband\"","\" White\"","\" Exec-managerial\"",40,"\" Canada\"","\" >50K\""
"\" Married-civ-spouse\"","\" Bachelors\"",[35 - 55[,"\" Husband\"","\" White\"","\" Prof-specialty\"",55,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Bachelors\"",[35 - 55[,"\" Husband\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
"\" Divorced\"","\" Bachelors\"",[35 - 50[,"\" Not-in-family\"","\" White\"","\" Exec-managerial\"",60,"\" United-States\"","\" <=50K\""
"\" Divorced\"","\" Bachelors\"",[35 - 50[,"\" Not-in-family\"","\" White\"","\" Sales\"",50,"\" United-States\"","\" <=50K\""
"\" Divorced\"","\" Bachelors\"",[35 - 50[,"\" Not-in-family\"","\" Asian-Pac-Islander\"","\" Exec-managerial\"",60,"\" Japan\"","\" <=50K\""
"\" Divorced\"","\" Bachelors\"",[35 - 50[,"\" Not-in-family\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" <=50K\""
"\" Divorced\"","\" Bachelors\"",[35 - 50[,"\" Not-in-family\"","\" Black\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
"\" Divorced\"","\" Bachelors\"",[25 - 40[,"\" Own-child\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" <=50K\""
"\" Divorced\"","\" Bachelors\"",[25 - 40[,"\" Not-in-family\"","\" White\"","\" Other-service\"",45,"\" ?\"","\" >50K\""
"\" Divorced\"","\" Bachelors\"",[25 - 40[,"\" Own-child\"","\" White\"","\" Exec-managerial\"",50,"\" United-States\"","\" >50K\""
"\" Divorced\"","\" Bachelors\"",[25 - 40[,"\" Unmarried\"","\" White\"","\" Exec-managerial\"",50,"\" United-States\"","\" >50K\""
"\" Divorced\"","\" Bachelors\"",[25 - 40[,"\" Not-in-family\"","\" Asian-Pac-Islander\"","\" Other-service\"",40,"\" China\"","\" <=50K\""
"\" Divorced\"","\" Bachelors\"",[25 - 40[,"\" Unmarried\"","\" White\"","\" Craft-repair\"",50,"\" United-States\"","\" <=50K\""
