job,marital,edu,age,social,race,position,county,country,salary
"\" Self-emp-not-inc\"","\" Married-civ-spouse\"","\" 7th-8th\"",35,"\" Husband\"","\" White\"","\" Farming-fishing\"",75,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Married-civ-spouse\"","\" 7th-8th\"",52,"\" Husband\"","\" Amer-Indian-Eskimo\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Married-spouse-absent\"","\" 7th-8th\"",63,"\" Unmarried\"","\" Amer-Indian-Eskimo\"","\" Other-service\"",40,"\" United-States\"","\" <=50K\""
"\" Without-pay\"","\" Widowed\"","\" 7th-8th\"",65,"\" Unmarried\"","\" White\"","\" Farming-fishing\"",50,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Widowed\"","\" 7th-8th\"",32,"\" Not-in-family\"","\" White\"","\" ?\"",40,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Widowed\"","\" 7th-8th\"",76,"\" Not-in-family\"","\" White\"","\" ?\"",2,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Never-married\"","\" 7th-8th\"",23,"\" Own-child\"","\" Black\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Never-married\"","\" 7th-8th\"",60,"\" Not-in-family\"","\" White\"","\" Transport-moving\"",48,"\" United-States\"","\" >50K\""
"\" Private\"","\" Never-married\"","\" 7th-8th\"",53,"\" Not-in-family\"","\" Amer-Indian-Eskimo\"","\" Transport-moving\"",40,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Never-married\"","\" 7th-8th\"",31,"\" Not-in-family\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Separated\"","\" 7th-8th\"",45,"\" Unmarried\"","\" White\"","\" Other-service\"",40,"\" Mexico\"","\" <=50K\""
"\" ?\"","\" Married-civ-spouse\"","\" 7th-8th\"",68,"\" Husband\"","\" White\"","\" ?\"",8,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Married-civ-spouse\"","\" 7th-8th\"",62,"\" Husband\"","\" White\"","\" ?\"",50,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Never-married\"","\" 7th-8th\"",66,"\" Not-in-family\"","\" White\"","\" ?\"",4,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Married-spouse-absent\"","\" 7th-8th\"",32,"\" Not-in-family\"","\" White\"","\" ?\"",40,"\" ?\"","\" <=50K\""
"\" Private\"","\" Widowed\"","\" 7th-8th\"",51,"\" Unmarried\"","\" Black\"","\" Other-service\"",40,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Widowed\"","\" 7th-8th\"",56,"\" Not-in-family\"","\" White\"","\" Transport-moving\"",20,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Widowed\"","\" 7th-8th\"",61,"\" Unmarried\"","\" Black\"","\" Other-service\"",38,"\" United-States\"","\" <=50K\""
"\" Self-emp-inc\"","\" Married-civ-spouse\"","\" 7th-8th\"",54,"\" Husband\"","\" White\"","\" Machine-op-inspct\"",40,"\" United-States\"","\" >50K\""
