job,marital,edu,age,social,race,position,county,country,salary
"\" ?\"","\" Married-spouse-absent\"","\" Masters\"",50,"\" Other-relative\"","\" White\"","\" ?\"",40,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Never-married\"","\" Masters\"",43,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",38,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Never-married\"","\" Masters\"",27,"\" Own-child\"","\" White\"","\" Prof-specialty\"",35,"\" United-States\"","\" <=50K\""
"\" Self-emp-inc\"","\" Married-spouse-absent\"","\" Masters\"",48,"\" Not-in-family\"","\" Asian-Pac-Islander\"","\" Sales\"",50,"\" India\"","\" <=50K\""
"\" Federal-gov\"","\" Never-married\"","\" Masters\"",36,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" <=50K\""
"\" Federal-gov\"","\" Never-married\"","\" Masters\"",49,"\" Not-in-family\"","\" White\"","\" Exec-managerial\"",56,"\" United-States\"","\" >50K\""
"\" Federal-gov\"","\" Never-married\"","\" Masters\"",40,"\" Not-in-family\"","\" White\"","\" Exec-managerial\"",55,"\" United-States\"","\" >50K\""
"\" State-gov\"","\" Never-married\"","\" Masters\"",44,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",60,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Never-married\"","\" Masters\"",31,"\" Not-in-family\"","\" White\"","\" Adm-clerical\"",25,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Never-married\"","\" Masters\"",50,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",38,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Married-civ-spouse\"","\" Masters\"",39,"\" Wife\"","\" Asian-Pac-Islander\"","\" ?\"",40,"\" ?\"","\" <=50K\""
"\" ?\"","\" Married-civ-spouse\"","\" Masters\"",51,"\" Husband\"","\" White\"","\" ?\"",40,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Married-civ-spouse\"","\" Masters\"",60,"\" Husband\"","\" White\"","\" ?\"",40,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Married-civ-spouse\"","\" Masters\"",63,"\" Husband\"","\" White\"","\" ?\"",30,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Widowed\"","\" Masters\"",46,"\" Unmarried\"","\" White\"","\" Protective-serv\"",40,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Married-spouse-absent\"","\" Masters\"",57,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Never-married\"","\" Masters\"",54,"\" Not-in-family\"","\" White\"","\" ?\"",40,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Widowed\"","\" Masters\"",54,"\" Unmarried\"","\" White\"","\" Prof-specialty\"",38,"\" United-States\"","\" <=50K\""
"\" Self-emp-inc\"","\" Divorced\"","\" Masters\"",44,"\" Unmarried\"","\" Asian-Pac-Islander\"","\" Exec-managerial\"",40,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Divorced\"","\" Masters\"",41,"\" Unmarried\"","\" White\"","\" Prof-specialty\"",60,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Divorced\"","\" Masters\"",45,"\" Unmarried\"","\" White\"","\" Prof-specialty\"",45,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Divorced\"","\" Masters\"",45,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",30,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Widowed\"","\" Masters\"",61,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
"\" Self-emp-not-inc\"","\" Never-married\"","\" Masters\"",47,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",50,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Never-married\"","\" Masters\"",26,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",50,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Married-spouse-absent\"","\" Masters\"",75,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",50,"\" United-States\"","\" <=50K\""
"\" Self-emp-inc\"","\" Separated\"","\" Masters\"",34,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
"\" State-gov\"","\" Divorced\"","\" Masters\"",42,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",38,"\" United-States\"","\" <=50K\""
"\" Federal-gov\"","\" Married-civ-spouse\"","\" Masters\"",50,"\" Husband\"","\" White\"","\" Tech-support\"",40,"\" United-States\"","\" >50K\""
"\" Federal-gov\"","\" Married-civ-spouse\"","\" Masters\"",57,"\" Husband\"","\" White\"","\" Sales\"",40,"\" United-States\"","\" >50K\""
"\" Federal-gov\"","\" Married-civ-spouse\"","\" Masters\"",38,"\" Husband\"","\" White\"","\" Prof-specialty\"",40,"\" Iran\"","\" >50K\""
"\" Federal-gov\"","\" Married-civ-spouse\"","\" Masters\"",63,"\" Husband\"","\" White\"","\" Exec-managerial\"",50,"\" United-States\"","\" >50K\""
