job,marital,edu,age,social,race,position,county,country,salary
"\" ?\"","\" Separated\"","\" Some-college\"",22,"\" Own-child\"","\" White\"","\" ?\"",25,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Widowed\"","\" Some-college\"",56,"\" Unmarried\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Separated\"","\" Some-college\"",29,"\" Unmarried\"","\" White\"","\" Adm-clerical\"",38,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Separated\"","\" Some-college\"",23,"\" Unmarried\"","\" Black\"","\" Exec-managerial\"",40,"\" United-States\"","\" <=50K\""
"\" Self-emp-inc\"","\" Never-married\"","\" Some-college\"",30,"\" Not-in-family\"","\" White\"","\" Exec-managerial\"",60,"\" United-States\"","\" <=50K\""
"\" Self-emp-inc\"","\" Never-married\"","\" Some-college\"",22,"\" Own-child\"","\" White\"","\" Craft-repair\"",35,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Separated\"","\" Some-college\"",37,"\" Not-in-family\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Separated\"","\" Some-college\"",38,"\" Not-in-family\"","\" White\"","\" Exec-managerial\"",45,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Separated\"","\" Some-college\"",71,"\" Unmarried\"","\" Black\"","\" Sales\"",2,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Married-spouse-absent\"","\" Some-college\"",31,"\" Other-relative\"","\" White\"","\" Other-service\"",40,"\" United-States\"","\" <=50K\""
"\" Federal-gov\"","\" Widowed\"","\" Some-college\"",53,"\" Not-in-family\"","\" Black\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
"\" Federal-gov\"","\" Widowed\"","\" Some-college\"",74,"\" Not-in-family\"","\" White\"","\" Transport-moving\"",18,"\" United-States\"","\" <=50K\""
"\" Federal-gov\"","\" Divorced\"","\" Some-college\"",63,"\" Unmarried\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" <=50K\""
"\" Federal-gov\"","\" Divorced\"","\" Some-college\"",48,"\" Not-in-family\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" <=50K\""
"\" Federal-gov\"","\" Divorced\"","\" Some-college\"",42,"\" Other-relative\"","\" White\"","\" Adm-clerical\"",40,"\" Puerto-Rico\"","\" <=50K\""
