job,marital,edu,age,social,race,position,county,country,salary
"\" Self-emp-not-inc\"","\" Divorced\"","\" HS-grad\"",28,"\" Own-child\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Divorced\"","\" HS-grad\"",37,"\" Own-child\"","\" White\"","\" Handlers-cleaners\"",10,"\" United-States\"","\" <=50K\""
"\" Self-emp-inc\"","\" Never-married\"","\" HS-grad\"",58,"\" Not-in-family\"","\" White\"","\" Sales\"",47,"\" United-States\"","\" <=50K\""
"\" Self-emp-inc\"","\" Divorced\"","\" HS-grad\"",52,"\" Unmarried\"","\" White\"","\" Exec-managerial\"",38,"\" United-States\"","\" <=50K\""
"\" Self-emp-inc\"","\" Divorced\"","\" HS-grad\"",47,"\" Not-in-family\"","\" White\"","\" Exec-managerial\"",60,"\" United-States\"","\" <=50K\""
"\" Self-emp-inc\"","\" Divorced\"","\" HS-grad\"",49,"\" Unmarried\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Widowed\"","\" HS-grad\"",72,"\" Not-in-family\"","\" White\"","\" ?\"",8,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Widowed\"","\" HS-grad\"",80,"\" Not-in-family\"","\" White\"","\" ?\"",24,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Widowed\"","\" HS-grad\"",76,"\" Not-in-family\"","\" Black\"","\" ?\"",2,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Never-married\"","\" HS-grad\"",19,"\" Own-child\"","\" White\"","\" Tech-support\"",40,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Never-married\"","\" HS-grad\"",43,"\" Unmarried\"","\" Black\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Never-married\"","\" HS-grad\"",39,"\" Not-in-family\"","\" Black\"","\" Other-service\"",40,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Never-married\"","\" HS-grad\"",59,"\" Own-child\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Separated\"","\" HS-grad\"",36,"\" Unmarried\"","\" White\"","\" Other-service\"",40,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Separated\"","\" HS-grad\"",29,"\" Not-in-family\"","\" White\"","\" Craft-repair\"",35,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Separated\"","\" HS-grad\"",57,"\" Not-in-family\"","\" White\"","\" Other-service\"",35,"\" United-States\"","\" <=50K\""
"\" Federal-gov\"","\" Widowed\"","\" HS-grad\"",63,"\" Not-in-family\"","\" Black\"","\" Handlers-cleaners\"",40,"\" United-States\"","\" <=50K\""
"\" Federal-gov\"","\" Widowed\"","\" HS-grad\"",59,"\" Unmarried\"","\" White\"","\" Sales\"",40,"\" Germany\"","\" <=50K\""
"\" Local-gov\"","\" Widowed\"","\" HS-grad\"",59,"\" Unmarried\"","\" White\"","\" Farming-fishing\"",40,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Widowed\"","\" HS-grad\"",45,"\" Not-in-family\"","\" White\"","\" Protective-serv\"",40,"\" United-States\"","\" >50K\""
"\" Local-gov\"","\" Widowed\"","\" HS-grad\"",49,"\" Not-in-family\"","\" Black\"","\" Protective-serv\"",40,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Widowed\"","\" HS-grad\"",61,"\" Unmarried\"","\" White\"","\" Adm-clerical\"",35,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Married-AF-spouse\"","\" HS-grad\"",19,"\" Wife\"","\" White\"","\" Adm-clerical\"",25,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Widowed\"","\" HS-grad\"",57,"\" Not-in-family\"","\" White\"","\" Craft-repair\"",55,"\" United-States\"","\" >50K\""
"\" Self-emp-not-inc\"","\" Widowed\"","\" HS-grad\"",58,"\" Not-in-family\"","\" White\"","\" Exec-managerial\"",50,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Widowed\"","\" HS-grad\"",36,"\" Not-in-family\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Widowed\"","\" HS-grad\"",64,"\" Not-in-family\"","\" White\"","\" Adm-clerical\"",38,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Married-spouse-absent\"","\" HS-grad\"",43,"\" Not-in-family\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Separated\"","\" HS-grad\"",26,"\" Unmarried\"","\" White\"","\" ?\"",40,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Married-spouse-absent\"","\" HS-grad\"",29,"\" Not-in-family\"","\" White\"","\" Protective-serv\"",40,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Married-spouse-absent\"","\" HS-grad\"",41,"\" Unmarried\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Married-spouse-absent\"","\" HS-grad\"",22,"\" Not-in-family\"","\" White\"","\" Sales\"",55,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Married-spouse-absent\"","\" HS-grad\"",27,"\" Unmarried\"","\" White\"","\" Sales\"",25,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Separated\"","\" HS-grad\"",59,"\" Unmarried\"","\" Black\"","\" Protective-serv\"",40,"\" United-States\"","\" <=50K\""
